timestamp,src_ip,host,uri,method,status,user_agent
2025-10-07T06:38:28Z,59.212.202.88,example.com,/images/backdoor.php,POST,403,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
2025-10-12T02:38:56Z,5.183.211.18,example.com,/images/backdoor.php,GET,400,python-requests/2.28.0
2025-10-09T09:07:53Z,200.173.65.198,example.com,/profile?name=<img src=x onerror=alert(1)>,PUT,200,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X)
2025-10-07T13:32:48Z,143.227.58.197,shop.example.com,/files/webshell.php,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2025-10-13T11:38:47Z,109.198.145.111,example.com,/api?filter=1' AND (SELECT 1)=1--,PUT,400,python-requests/2.28.0
2025-10-12T14:21:35Z,128.23.25.69,example.com,/user?id=1 UNION SELECT password FROM users--,PUT,403,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X)
2025-10-09T06:00:04Z,199.211.57.147,example.com,/profile?name=<img src=x onerror=alert(1)>,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
2025-10-09T01:42:52Z,86.180.202.138,shop.example.com,/redirect?url=javascript:alert(document.cookie),PUT,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2025-10-11T15:26:50Z,106.82.221.3,api.example.com,/view?path=..\..\..\boot.ini,PUT,500,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
2025-10-07T14:14:11Z,23.190.189.56,api.example.com,/assets/%2e%2e/%2e%2e/etc/hosts,GET,500,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
2025-10-09T04:21:00Z,202.54.218.156,example.com,/profile?name=<img src=x onerror=alert(1)>,POST,500,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
2025-10-13T09:24:37Z,86.94.62.173,example.com,/static/../../../etc/passwd,POST,403,python-requests/2.28.0
